Age,Health Challenge,Class Participation,Academic Performance before Jamb/Waec,Study Habits,Assignment/Homework Completion,Extracurricular Involvement,Disciplinary Issue,Attendance Status,Motivation for Jamb/Waec,Resource Access (1-3),Understanding of Material (1-3),Time Management (1-3),Tutorial Hours for Jamb/Waec,Daily Self Study Hours for Jamb/Waec,Jamb Score,Family Income Range,Parent Education Level,Living Conditions,Parent Engagement with School/Teachers,Exam Status
26,Yes,Active,Excellent,Good,Rarely,None,No,Very Poor,Moderate,3,2,2,17,4,197,Low,Primary,Poor,Low,Fail
27,Yes,Rarely,Excellent,Average,Sometimes,Moderate,No,Irregular,Moderate,2,1,3,88,8,175,High,Secondary,Poor,Moderate,Fail
20,Yes,Active,Poor,Good,Sometimes,High,No,Very Poor,Moderate,3,3,1,94,11,169,Low,Secondary,Poor,Low,Fail
17,Yes,Active,Fair,Average,Always,Low,No,Irregular,Low,1,2,2,92,7,129,Medium,Primary,Good,Moderate,Fail
23,Yes,Rarely,Fair,Poor,Rarely,None,Yes,Very Poor,Moderate,3,2,3,66,4,130,Low,Tertiary,Good,Moderate,Fail
17,Yes,Active,Fair,Average,Sometimes,Moderate,Yes,Very Poor,High,2,2,3,16,8,370,High,Tertiary,Moderate,Moderate,Pass
22,Yes,Rarely,Excellent,Average,Always,Moderate,Yes,Very Poor,Moderate,2,2,1,98,1,252,High,Secondary,Good,Low,Pass
26,No,Active,Poor,Good,Always,Low,No,Regular,Low,1,1,3,20,2,390,Medium,Tertiary,Poor,Moderate,Pass
28,No,Active,Poor,Average,Always,Low,No,Very Poor,Moderate,1,1,3,58,0,398,Medium,Secondary,Poor,Moderate,Pass
18,No,Moderate,Excellent,Good,Sometimes,Moderate,No,Irregular,High,2,3,2,4,3,282,Low,Secondary,Poor,High,Pass
18,Yes,Active,Poor,Average,Sometimes,None,No,Regular,High,2,1,3,89,7,323,Medium,Tertiary,Moderate,Moderate,Pass
29,Yes,Active,Excellent,Good,Always,None,No,Regular,Low,2,3,3,57,5,170,Low,Tertiary,Moderate,High,Fail
23,No,Active,Fair,Poor,Always,Moderate,Yes,Regular,Moderate,1,2,1,82,12,250,Low,Tertiary,Poor,High,Pass
28,No,Moderate,Excellent,Poor,Sometimes,Moderate,Yes,Irregular,Moderate,3,3,3,84,12,184,Medium,Primary,Good,High,Fail
25,Yes,Active,Excellent,Average,Sometimes,Low,No,Irregular,High,2,3,1,46,12,271,High,Tertiary,Poor,Moderate,Pass
18,Yes,Active,Fair,Poor,Sometimes,Moderate,No,Very Poor,Low,3,3,3,76,0,173,Low,Secondary,Good,High,Fail
25,Yes,Active,Good,Good,Rarely,Low,Yes,Very Poor,Low,1,2,1,30,2,377,Medium,Primary,Moderate,High,Pass
22,Yes,Active,Poor,Poor,Sometimes,None,Yes,Irregular,Low,2,2,2,33,4,180,Low,Primary,Moderate,High,Fail
16,No,Rarely,Fair,Average,Always,High,No,Regular,High,3,3,3,88,11,340,High,Primary,Good,High,Pass
18,Yes,Rarely,Excellent,Poor,Rarely,None,No,Regular,Moderate,3,1,2,27,2,251,Low,Tertiary,Moderate,Moderate,Pass
19,Yes,Rarely,Excellent,Good,Rarely,High,No,Irregular,Low,2,3,1,15,0,108,Low,Primary,Moderate,Moderate,Fail
19,Yes,Moderate,Fair,Average,Sometimes,Low,Yes,Irregular,High,1,1,3,1,2,304,Medium,Tertiary,Poor,High,Pass
29,Yes,Rarely,Excellent,Poor,Sometimes,Low,Yes,Very Poor,Low,3,1,2,60,0,395,High,Secondary,Moderate,Low,Pass
23,Yes,Moderate,Fair,Good,Rarely,High,Yes,Irregular,Low,2,1,1,78,9,135,Medium,Secondary,Moderate,High,Fail
18,Yes,Moderate,Poor,Poor,Always,None,Yes,Very Poor,Low,2,2,1,12,10,279,High,Primary,Moderate,High,Pass
30,No,Rarely,Excellent,Good,Rarely,High,Yes,Irregular,High,2,2,3,3,6,319,Low,Tertiary,Moderate,Moderate,Pass
30,Yes,Active,Poor,Poor,Always,Moderate,Yes,Irregular,High,1,2,2,8,2,184,Low,Primary,Poor,High,Fail
24,No,Active,Excellent,Average,Sometimes,Moderate,No,Regular,High,1,1,2,25,12,250,Low,Primary,Moderate,Low,Pass
23,Yes,Active,Excellent,Poor,Rarely,High,No,Regular,High,1,2,3,39,7,299,Low,Secondary,Moderate,Moderate,Pass
18,Yes,Rarely,Good,Good,Rarely,Moderate,No,Very Poor,High,1,3,3,16,11,210,High,Secondary,Good,Moderate,Pass
30,No,Moderate,Poor,Poor,Rarely,Low,No,Irregular,High,1,1,2,57,7,182,High,Secondary,Poor,High,Fail
18,Yes,Moderate,Good,Average,Rarely,High,Yes,Very Poor,Low,3,2,1,90,11,348,High,Secondary,Poor,Low,Pass
28,No,Active,Poor,Average,Rarely,High,Yes,Irregular,Moderate,2,2,1,42,12,287,High,Primary,Good,High,Pass
25,Yes,Moderate,Good,Good,Sometimes,High,No,Very Poor,Moderate,1,3,3,79,8,168,Low,Primary,Moderate,Moderate,Fail
17,No,Rarely,Poor,Average,Sometimes,Moderate,Yes,Regular,Low,2,3,3,75,6,239,Low,Tertiary,Moderate,Moderate,Pass
25,No,Rarely,Poor,Poor,Sometimes,Moderate,No,Regular,High,3,2,2,100,10,190,High,Tertiary,Moderate,Moderate,Fail
22,No,Active,Excellent,Poor,Rarely,None,No,Very Poor,Low,1,2,2,29,8,265,Low,Tertiary,Poor,Moderate,Pass
23,No,Active,Fair,Average,Rarely,None,Yes,Regular,High,3,1,1,16,8,117,High,Secondary,Poor,Low,Fail
23,No,Active,Fair,Poor,Sometimes,None,No,Regular,Moderate,1,3,2,59,5,208,Low,Tertiary,Good,Moderate,Pass
21,No,Rarely,Fair,Average,Sometimes,High,No,Regular,High,3,2,2,33,2,223,Low,Secondary,Moderate,Low,Pass
19,No,Moderate,Poor,Poor,Rarely,None,Yes,Very Poor,Low,3,2,1,57,7,138,High,Primary,Poor,High,Fail
27,Yes,Active,Fair,Poor,Always,Moderate,Yes,Regular,Low,3,2,2,15,4,181,Medium,Tertiary,Good,High,Fail
22,No,Moderate,Poor,Poor,Sometimes,None,No,Irregular,Moderate,3,1,2,66,5,265,Low,Tertiary,Moderate,Low,Pass
20,Yes,Moderate,Excellent,Poor,Sometimes,Moderate,Yes,Irregular,Low,3,2,1,65,2,329,Medium,Tertiary,Good,Moderate,Pass
26,No,Rarely,Good,Good,Always,Low,Yes,Very Poor,Low,1,3,3,92,7,112,Medium,Tertiary,Moderate,Low,Fail
25,No,Active,Fair,Average,Rarely,High,Yes,Very Poor,Moderate,2,1,2,5,8,262,Medium,Tertiary,Moderate,Low,Pass
20,Yes,Active,Excellent,Poor,Sometimes,Moderate,Yes,Regular,Low,3,3,1,34,3,207,Medium,Secondary,Moderate,High,Pass
19,Yes,Moderate,Fair,Average,Rarely,Moderate,Yes,Very Poor,Low,1,1,1,66,3,380,Medium,Primary,Good,Moderate,Pass
30,No,Moderate,Fair,Poor,Always,Moderate,Yes,Regular,High,1,2,1,83,4,382,High,Primary,Moderate,Moderate,Pass
16,Yes,Moderate,Fair,Good,Always,Low,Yes,Regular,Moderate,2,3,2,49,0,183,Low,Secondary,Poor,Moderate,Fail
22,No,Moderate,Fair,Poor,Always,None,No,Very Poor,Moderate,3,1,2,81,10,169,Medium,Secondary,Moderate,Moderate,Fail
30,No,Rarely,Excellent,Average,Sometimes,Moderate,No,Very Poor,Low,3,3,1,58,6,255,Medium,Tertiary,Moderate,Low,Pass
16,Yes,Rarely,Excellent,Poor,Always,None,Yes,Regular,Low,1,2,2,7,2,326,High,Primary,Moderate,Low,Pass
28,No,Active,Excellent,Average,Always,None,No,Irregular,High,3,2,2,13,6,224,Low,Primary,Good,Low,Pass
18,No,Active,Poor,Average,Sometimes,Moderate,Yes,Regular,Moderate,1,3,1,70,6,151,High,Secondary,Poor,Low,Fail
29,No,Moderate,Fair,Average,Rarely,Low,No,Regular,Moderate,3,2,2,95,6,310,Medium,Primary,Moderate,Moderate,Pass
21,Yes,Active,Fair,Good,Sometimes,High,No,Irregular,Low,1,2,1,98,11,115,Low,Primary,Moderate,Low,Fail
25,No,Active,Good,Poor,Sometimes,Low,No,Irregular,High,2,2,1,36,9,134,Low,Primary,Poor,High,Fail
19,No,Moderate,Poor,Average,Always,Low,Yes,Very Poor,Moderate,1,1,2,39,9,174,High,Secondary,Moderate,Moderate,Fail
18,No,Rarely,Fair,Average,Always,Moderate,Yes,Regular,Moderate,2,3,2,51,9,385,Medium,Secondary,Good,Low,Pass
30,No,Active,Good,Average,Sometimes,High,Yes,Irregular,High,1,3,2,18,4,117,High,Secondary,Good,Low,Fail
23,Yes,Moderate,Poor,Poor,Sometimes,Low,No,Regular,Low,3,2,1,42,1,295,High,Secondary,Poor,Low,Pass
22,Yes,Moderate,Fair,Poor,Always,High,No,Regular,Moderate,2,2,3,12,8,312,Medium,Tertiary,Moderate,Low,Pass
26,No,Rarely,Excellent,Average,Rarely,None,No,Irregular,Moderate,3,1,3,70,1,155,Low,Tertiary,Poor,Low,Fail
21,Yes,Active,Fair,Good,Always,None,Yes,Regular,Low,2,2,2,85,2,291,High,Primary,Moderate,High,Pass
16,No,Rarely,Poor,Average,Always,Low,Yes,Very Poor,High,3,2,1,11,8,298,Medium,Secondary,Good,Moderate,Pass
23,Yes,Moderate,Excellent,Poor,Always,None,No,Irregular,Low,2,1,3,22,1,115,High,Secondary,Poor,High,Fail
27,Yes,Active,Good,Poor,Rarely,Low,No,Regular,High,1,3,1,49,8,159,High,Primary,Poor,Low,Fail
18,Yes,Moderate,Fair,Poor,Rarely,High,Yes,Very Poor,High,1,3,1,90,4,330,High,Primary,Poor,Low,Pass
29,No,Moderate,Fair,Good,Sometimes,High,No,Irregular,Low,2,3,3,23,10,135,High,Secondary,Moderate,Moderate,Fail
23,No,Moderate,Good,Average,Always,Low,Yes,Irregular,Moderate,3,2,2,67,6,231,Low,Primary,Moderate,Low,Pass
23,No,Rarely,Poor,Good,Sometimes,Low,No,Irregular,Low,3,2,1,41,12,283,High,Primary,Good,Low,Pass
29,Yes,Moderate,Fair,Average,Sometimes,Moderate,No,Very Poor,Low,3,2,3,49,10,353,Low,Secondary,Poor,Low,Pass
24,No,Rarely,Good,Average,Always,Moderate,Yes,Regular,High,1,2,3,14,6,396,High,Primary,Poor,Moderate,Pass
22,Yes,Active,Excellent,Good,Rarely,Moderate,No,Regular,Low,3,2,3,34,5,337,Low,Tertiary,Poor,Moderate,Pass
24,Yes,Active,Excellent,Average,Rarely,Low,Yes,Very Poor,Low,1,1,3,55,10,325,Low,Tertiary,Moderate,High,Pass
28,Yes,Moderate,Good,Good,Rarely,High,No,Very Poor,Low,2,3,2,78,12,352,Low,Primary,Poor,High,Pass
19,Yes,Active,Good,Poor,Always,Moderate,No,Irregular,Low,1,3,1,3,7,296,Medium,Secondary,Good,Low,Pass
24,Yes,Moderate,Good,Good,Rarely,High,No,Regular,Low,1,3,1,18,12,262,High,Secondary,Good,Moderate,Pass
30,No,Active,Excellent,Average,Rarely,Moderate,Yes,Regular,High,2,2,3,34,1,273,Medium,Secondary,Good,High,Pass
18,Yes,Rarely,Fair,Poor,Sometimes,None,Yes,Regular,Low,3,3,2,4,0,361,Low,Secondary,Poor,High,Pass
25,Yes,Active,Fair,Average,Sometimes,None,Yes,Irregular,Moderate,3,1,3,83,0,138,Low,Secondary,Poor,High,Fail
16,Yes,Moderate,Poor,Good,Sometimes,Low,Yes,Regular,Low,3,2,1,84,2,283,Low,Secondary,Good,High,Pass
18,No,Moderate,Good,Average,Sometimes,Moderate,No,Regular,High,3,3,1,30,5,338,Medium,Primary,Good,Moderate,Pass
23,No,Moderate,Poor,Average,Always,Low,Yes,Regular,Low,1,2,3,84,0,118,High,Tertiary,Poor,Moderate,Fail
20,Yes,Moderate,Fair,Average,Sometimes,Low,Yes,Regular,Moderate,1,2,2,34,5,285,Medium,Secondary,Poor,High,Pass
23,No,Rarely,Excellent,Good,Sometimes,Moderate,No,Very Poor,High,3,1,1,85,9,198,High,Primary,Good,Low,Fail
19,Yes,Moderate,Fair,Average,Rarely,Low,No,Regular,Moderate,1,2,3,81,4,107,Low,Secondary,Poor,Moderate,Fail
25,No,Rarely,Good,Good,Sometimes,Low,No,Very Poor,Moderate,3,2,3,78,1,285,Medium,Tertiary,Good,Moderate,Pass
18,Yes,Active,Excellent,Good,Rarely,High,Yes,Regular,Moderate,3,3,3,94,12,250,High,Tertiary,Good,Low,Pass
28,Yes,Active,Poor,Good,Sometimes,Low,No,Very Poor,High,2,2,3,33,7,332,Low,Tertiary,Moderate,Low,Pass
25,No,Moderate,Excellent,Good,Sometimes,Low,Yes,Very Poor,Moderate,3,3,1,26,1,111,High,Tertiary,Moderate,Moderate,Fail
30,Yes,Moderate,Fair,Average,Always,Moderate,No,Irregular,Low,3,3,2,53,8,230,High,Secondary,Poor,High,Pass
19,No,Rarely,Good,Average,Always,High,Yes,Regular,High,3,3,2,21,8,279,Medium,Secondary,Moderate,Low,Pass
18,Yes,Moderate,Good,Good,Sometimes,Moderate,No,Very Poor,Moderate,1,3,2,22,12,391,High,Tertiary,Good,Moderate,Pass
19,Yes,Active,Excellent,Poor,Sometimes,High,Yes,Very Poor,High,1,3,2,22,12,358,Low,Tertiary,Moderate,Low,Pass
21,Yes,Active,Good,Good,Rarely,Moderate,Yes,Irregular,Moderate,2,3,3,48,0,296,Low,Tertiary,Poor,Moderate,Pass
20,Yes,Moderate,Fair,Poor,Sometimes,Low,No,Very Poor,Moderate,3,3,2,21,11,210,Low,Tertiary,Poor,Moderate,Pass
20,No,Moderate,Good,Good,Rarely,Moderate,No,Regular,Moderate,2,1,1,100,4,376,Low,Primary,Good,Low,Pass
24,Yes,Moderate,Poor,Good,Always,High,No,Very Poor,High,3,3,3,72,11,381,Low,Tertiary,Moderate,Low,Pass
18,Yes,Rarely,Good,Average,Rarely,High,No,Very Poor,High,3,1,3,35,6,153,Medium,Tertiary,Good,Moderate,Fail
19,Yes,Moderate,Fair,Average,Always,High,Yes,Irregular,Low,3,2,1,74,9,135,High,Secondary,Poor,High,Fail
22,No,Moderate,Good,Average,Rarely,High,Yes,Irregular,Moderate,1,2,2,96,2,314,Low,Secondary,Good,High,Pass
21,Yes,Active,Fair,Average,Rarely,Low,No,Irregular,High,3,3,3,17,4,119,High,Secondary,Poor,High,Fail
23,Yes,Moderate,Poor,Poor,Always,Low,No,Irregular,High,3,2,1,85,11,339,Medium,Primary,Good,High,Pass
27,Yes,Rarely,Good,Poor,Rarely,Moderate,No,Irregular,High,1,2,2,77,8,356,Low,Secondary,Good,Moderate,Pass
18,No,Moderate,Fair,Poor,Rarely,High,No,Regular,Moderate,3,2,1,15,11,312,Low,Tertiary,Good,Moderate,Pass
20,No,Moderate,Poor,Good,Rarely,None,Yes,Irregular,Moderate,3,2,3,95,4,306,Medium,Tertiary,Good,Low,Pass
29,No,Rarely,Good,Poor,Always,Low,No,Regular,Low,1,3,3,33,5,108,Medium,Primary,Moderate,High,Fail
28,Yes,Active,Good,Poor,Always,Low,No,Very Poor,Low,3,1,2,12,7,275,High,Primary,Poor,High,Pass
21,No,Moderate,Fair,Average,Always,Low,Yes,Very Poor,High,1,1,3,73,11,195,High,Secondary,Moderate,High,Fail
22,Yes,Rarely,Excellent,Poor,Always,Low,Yes,Regular,Moderate,3,3,2,18,2,300,High,Secondary,Good,High,Pass
24,No,Moderate,Fair,Good,Sometimes,Moderate,Yes,Very Poor,Low,3,3,3,19,2,294,High,Secondary,Good,High,Pass
27,Yes,Active,Excellent,Average,Rarely,Low,No,Very Poor,Low,2,2,2,10,5,246,Low,Secondary,Poor,Moderate,Pass
30,No,Rarely,Fair,Average,Always,High,No,Very Poor,Low,2,2,3,69,8,101,High,Primary,Moderate,Low,Fail
25,No,Active,Excellent,Average,Rarely,Low,No,Irregular,Low,3,2,3,57,5,314,Medium,Tertiary,Good,Low,Pass
24,No,Rarely,Excellent,Poor,Rarely,None,No,Regular,Low,3,1,3,92,7,190,Low,Primary,Poor,Low,Fail
16,Yes,Rarely,Poor,Good,Sometimes,None,No,Irregular,High,2,3,3,54,5,341,Medium,Tertiary,Good,Moderate,Pass
28,Yes,Active,Poor,Poor,Rarely,None,Yes,Regular,High,2,1,2,100,10,374,Medium,Primary,Good,High,Pass
27,Yes,Active,Good,Average,Rarely,None,Yes,Irregular,Moderate,1,1,3,73,4,400,High,Secondary,Good,High,Pass
30,Yes,Moderate,Good,Poor,Sometimes,Moderate,No,Very Poor,Moderate,1,1,3,22,5,141,High,Tertiary,Poor,Moderate,Fail
22,Yes,Moderate,Excellent,Average,Always,Low,Yes,Regular,High,3,2,2,40,9,119,High,Tertiary,Poor,High,Fail
23,Yes,Moderate,Excellent,Average,Rarely,Moderate,Yes,Irregular,High,1,1,3,72,11,205,Medium,Primary,Poor,Low,Pass
18,Yes,Moderate,Fair,Average,Rarely,High,Yes,Very Poor,High,3,3,2,90,10,216,Medium,Primary,Good,Moderate,Pass
28,No,Moderate,Good,Poor,Always,High,Yes,Very Poor,Moderate,1,3,3,32,8,177,High,Tertiary,Poor,Low,Fail
20,Yes,Active,Poor,Good,Always,High,Yes,Regular,High,1,2,3,32,5,341,Medium,Secondary,Poor,Moderate,Pass
27,No,Active,Poor,Good,Always,None,No,Regular,High,2,2,3,97,2,313,High,Primary,Good,Moderate,Pass
22,No,Moderate,Poor,Good,Rarely,Low,Yes,Regular,Moderate,3,2,2,42,3,294,Medium,Tertiary,Good,Low,Pass
17,Yes,Moderate,Fair,Poor,Always,Moderate,Yes,Irregular,Low,1,3,3,25,12,310,High,Secondary,Moderate,High,Pass
16,No,Moderate,Good,Good,Always,None,No,Very Poor,Low,2,1,1,81,11,308,High,Secondary,Poor,Low,Pass
23,No,Rarely,Good,Average,Rarely,Moderate,No,Very Poor,High,2,2,3,99,1,137,Low,Secondary,Good,Moderate,Fail
24,No,Active,Poor,Poor,Always,High,Yes,Irregular,Low,3,1,1,46,3,176,Medium,Tertiary,Moderate,High,Fail
16,Yes,Active,Good,Good,Sometimes,High,Yes,Irregular,Moderate,3,3,1,71,7,261,High,Primary,Good,High,Pass
19,No,Active,Good,Good,Always,Low,No,Irregular,High,1,2,2,14,5,254,Low,Tertiary,Good,Moderate,Pass
30,No,Active,Good,Poor,Sometimes,Low,Yes,Very Poor,Moderate,2,3,1,42,7,144,High,Primary,Moderate,Low,Fail
26,No,Rarely,Poor,Poor,Sometimes,Low,Yes,Very Poor,Moderate,2,2,1,4,11,369,Medium,Primary,Good,Low,Pass
29,Yes,Moderate,Poor,Average,Sometimes,None,No,Regular,Moderate,3,3,1,42,11,201,High,Tertiary,Moderate,Low,Pass
18,Yes,Active,Poor,Good,Always,None,Yes,Very Poor,Low,3,3,3,77,7,101,High,Tertiary,Moderate,High,Fail
25,Yes,Rarely,Poor,Good,Rarely,High,No,Very Poor,Low,2,2,3,54,6,381,High,Secondary,Moderate,High,Pass
29,No,Rarely,Excellent,Good,Sometimes,High,No,Very Poor,High,1,2,3,1,6,179,Low,Primary,Poor,High,Fail
17,Yes,Moderate,Poor,Good,Sometimes,None,Yes,Irregular,Moderate,1,1,3,6,1,388,Low,Tertiary,Good,Low,Pass
30,Yes,Moderate,Poor,Good,Rarely,None,Yes,Regular,Moderate,1,3,2,11,11,100,Medium,Primary,Moderate,Moderate,Fail
20,No,Active,Excellent,Good,Sometimes,None,No,Very Poor,Moderate,2,1,2,78,5,282,Low,Secondary,Moderate,Moderate,Pass
30,Yes,Active,Excellent,Poor,Rarely,Low,No,Irregular,Moderate,2,3,1,75,11,382,Low,Secondary,Good,High,Pass
21,Yes,Moderate,Poor,Good,Rarely,Moderate,No,Irregular,Moderate,1,3,2,71,8,264,High,Secondary,Moderate,Low,Pass
17,Yes,Rarely,Good,Average,Always,Moderate,Yes,Regular,Moderate,2,1,1,9,11,119,Medium,Tertiary,Moderate,High,Fail
19,Yes,Active,Poor,Average,Rarely,High,No,Irregular,Low,2,3,2,83,9,324,High,Secondary,Good,Low,Pass
19,Yes,Active,Excellent,Average,Always,Low,No,Irregular,Moderate,1,3,3,74,11,371,Medium,Primary,Poor,Low,Pass
25,Yes,Rarely,Good,Poor,Rarely,None,Yes,Regular,Moderate,3,3,2,25,9,187,High,Secondary,Poor,Low,Fail
24,No,Moderate,Good,Good,Sometimes,None,Yes,Very Poor,Moderate,1,1,1,92,2,199,High,Secondary,Poor,Moderate,Fail
24,Yes,Active,Fair,Average,Sometimes,Low,No,Very Poor,Moderate,2,2,3,46,9,165,High,Tertiary,Good,Moderate,Fail
19,No,Moderate,Good,Poor,Rarely,None,No,Very Poor,Moderate,2,3,1,78,1,325,Medium,Tertiary,Good,High,Pass
16,Yes,Rarely,Good,Average,Always,None,No,Irregular,Moderate,3,1,1,59,9,120,Medium,Secondary,Good,High,Fail
26,No,Moderate,Good,Poor,Always,Low,No,Very Poor,High,3,3,1,34,2,379,Medium,Tertiary,Good,High,Pass
25,Yes,Rarely,Excellent,Poor,Rarely,Low,Yes,Regular,High,2,3,1,3,0,106,Low,Secondary,Poor,Low,Fail
16,Yes,Moderate,Good,Average,Rarely,None,Yes,Regular,Low,1,2,1,6,3,206,Medium,Secondary,Moderate,Moderate,Pass
23,No,Moderate,Excellent,Good,Always,Moderate,Yes,Regular,Moderate,2,3,2,65,3,109,Low,Primary,Moderate,Low,Fail
24,No,Active,Fair,Average,Rarely,High,No,Very Poor,Low,1,3,3,22,4,279,High,Tertiary,Good,Low,Pass
24,No,Active,Fair,Good,Sometimes,Low,No,Very Poor,Moderate,2,3,1,77,6,311,Medium,Primary,Poor,Low,Pass
18,Yes,Rarely,Poor,Poor,Always,Moderate,No,Very Poor,High,2,3,1,93,11,327,Low,Primary,Poor,Moderate,Pass
26,Yes,Active,Good,Poor,Always,High,Yes,Very Poor,Moderate,2,3,1,41,8,150,Medium,Secondary,Moderate,High,Fail
23,Yes,Rarely,Excellent,Good,Sometimes,None,No,Very Poor,Low,1,3,2,55,0,187,Low,Secondary,Moderate,High,Fail
18,Yes,Moderate,Poor,Average,Rarely,High,No,Regular,High,1,3,3,96,7,218,Low,Primary,Poor,High,Pass
27,Yes,Rarely,Poor,Poor,Sometimes,None,Yes,Regular,Moderate,2,3,2,46,0,348,High,Primary,Good,High,Pass
27,Yes,Rarely,Poor,Average,Rarely,Moderate,Yes,Irregular,Low,3,1,2,78,12,143,High,Tertiary,Moderate,Low,Fail
21,No,Rarely,Good,Poor,Always,High,Yes,Very Poor,Low,2,1,3,40,9,232,Low,Primary,Poor,Moderate,Pass
30,Yes,Rarely,Poor,Good,Always,None,No,Very Poor,Low,2,1,1,33,12,161,Low,Primary,Moderate,Low,Fail
16,No,Active,Good,Poor,Sometimes,High,Yes,Very Poor,Low,2,1,1,79,11,165,High,Primary,Moderate,Low,Fail
17,No,Rarely,Excellent,Poor,Always,Low,Yes,Regular,High,2,3,3,53,12,181,Low,Primary,Poor,Low,Fail
25,No,Moderate,Good,Good,Always,Low,Yes,Very Poor,Low,2,2,2,8,12,137,Low,Tertiary,Poor,High,Fail
30,Yes,Moderate,Poor,Good,Always,Low,Yes,Very Poor,High,3,3,1,63,6,190,High,Tertiary,Moderate,Moderate,Fail
19,No,Moderate,Fair,Average,Sometimes,High,No,Very Poor,Moderate,2,1,3,77,11,312,Medium,Tertiary,Poor,Moderate,Pass
24,Yes,Moderate,Excellent,Good,Always,Low,No,Very Poor,Moderate,2,2,2,32,0,162,Low,Primary,Moderate,Moderate,Fail
22,Yes,Moderate,Fair,Average,Rarely,High,Yes,Regular,High,1,1,3,31,6,126,High,Tertiary,Moderate,Moderate,Fail
27,No,Active,Poor,Good,Sometimes,None,Yes,Regular,Low,1,1,2,43,7,173,Medium,Secondary,Poor,Moderate,Fail
27,Yes,Rarely,Fair,Average,Always,Moderate,Yes,Irregular,High,2,3,2,34,11,170,Medium,Secondary,Good,Moderate,Fail
28,Yes,Rarely,Excellent,Poor,Rarely,High,Yes,Irregular,Low,2,2,2,93,3,369,High,Secondary,Good,High,Pass
22,No,Rarely,Fair,Poor,Sometimes,High,Yes,Irregular,Moderate,1,2,1,29,6,365,Low,Secondary,Good,Low,Pass
25,No,Moderate,Poor,Average,Sometimes,None,Yes,Very Poor,High,3,3,1,46,0,194,Medium,Tertiary,Moderate,High,Fail
27,No,Active,Excellent,Average,Rarely,Low,Yes,Irregular,High,3,1,3,43,11,204,High,Tertiary,Moderate,Low,Pass
27,No,Rarely,Poor,Average,Rarely,Moderate,No,Very Poor,Low,1,1,1,7,7,392,Medium,Tertiary,Moderate,Low,Pass
26,No,Rarely,Fair,Good,Rarely,High,Yes,Regular,Moderate,2,2,3,80,5,325,Medium,Secondary,Moderate,Moderate,Pass
23,Yes,Active,Excellent,Poor,Sometimes,None,No,Irregular,Moderate,1,2,1,34,2,248,Medium,Secondary,Good,High,Pass
21,No,Rarely,Fair,Average,Sometimes,High,Yes,Irregular,Low,1,3,1,79,7,146,Medium,Primary,Good,High,Fail
21,Yes,Active,Poor,Poor,Always,High,No,Very Poor,High,3,3,1,19,4,303,Medium,Primary,Good,Low,Pass
24,No,Moderate,Fair,Average,Always,Moderate,No,Very Poor,Low,2,3,2,81,7,263,High,Tertiary,Moderate,Moderate,Pass
27,No,Rarely,Excellent,Average,Always,Moderate,No,Very Poor,Low,1,2,2,98,11,105,Low,Tertiary,Poor,Moderate,Fail
28,Yes,Rarely,Excellent,Average,Always,Moderate,Yes,Regular,Low,1,2,3,69,2,258,Medium,Secondary,Poor,Low,Pass
20,No,Active,Poor,Average,Sometimes,Moderate,Yes,Very Poor,Moderate,2,3,3,3,5,124,Low,Secondary,Good,Low,Fail
17,Yes,Moderate,Fair,Average,Sometimes,None,No,Irregular,Moderate,3,3,1,12,3,338,Low,Primary,Good,High,Pass
26,Yes,Rarely,Poor,Poor,Rarely,High,No,Regular,Moderate,3,3,1,88,3,125,Medium,Primary,Good,Low,Fail
16,Yes,Moderate,Excellent,Poor,Rarely,Low,Yes,Very Poor,Moderate,1,2,3,78,7,130,Low,Tertiary,Moderate,High,Fail
17,No,Active,Excellent,Average,Rarely,Moderate,No,Regular,Low,1,2,3,28,0,305,Medium,Secondary,Poor,Low,Pass
16,Yes,Active,Good,Good,Sometimes,Moderate,No,Very Poor,Moderate,2,3,3,35,6,133,Low,Tertiary,Moderate,Low,Fail
27,Yes,Active,Excellent,Average,Sometimes,None,No,Very Poor,Moderate,2,1,3,85,0,326,Medium,Primary,Poor,Low,Pass
16,Yes,Rarely,Poor,Average,Rarely,Low,No,Irregular,High,2,1,2,14,8,286,Low,Secondary,Moderate,High,Pass
28,Yes,Active,Fair,Average,Rarely,None,Yes,Irregular,Low,1,3,3,59,12,388,Low,Tertiary,Moderate,Moderate,Pass
23,Yes,Active,Poor,Average,Always,None,No,Very Poor,Moderate,1,2,3,30,8,136,Low,Tertiary,Poor,Moderate,Fail
23,Yes,Rarely,Fair,Poor,Rarely,Low,No,Irregular,Low,1,2,2,88,9,355,High,Secondary,Good,Low,Pass
18,No,Moderate,Excellent,Average,Always,None,No,Irregular,Moderate,2,3,3,80,3,289,High,Secondary,Poor,High,Pass
17,Yes,Moderate,Excellent,Average,Rarely,None,No,Very Poor,Low,3,3,3,42,4,139,High,Primary,Moderate,Low,Fail
17,Yes,Rarely,Poor,Poor,Rarely,Moderate,Yes,Irregular,Moderate,3,2,2,53,11,158,High,Tertiary,Good,Moderate,Fail
27,No,Moderate,Fair,Average,Always,Moderate,No,Regular,Moderate,1,2,2,71,7,214,Medium,Primary,Moderate,Moderate,Pass
25,No,Moderate,Poor,Poor,Sometimes,Moderate,No,Very Poor,Moderate,3,3,2,21,4,281,Medium,Primary,Moderate,High,Pass
